Applications,Time,Value
Marine coatings,2011,0.446
Marine coatings,2012,0.463
Marine coatings,2013,0.483
Marine coatings,2014,0.492
Marine coatings,2015,0.5
Marine coatings,2016,0.502
Marine coatings,2017,0.509
Marine coatings,2018,0.524
Marine coatings,2019,0.541
Industrial/machinery,1990,0.817
Industrial/machinery,1991,0.846
Industrial/machinery,1992,0.898
Industrial/machinery,1993,0.934
Industrial/machinery,1994,1.024
Industrial/machinery,1995,1.062
Industrial/machinery,1996,1.136
Industrial/machinery,1997,1.219
Industrial/machinery,1998,1.272
Industrial/machinery,1999,1.365
Industrial/machinery,2000,1.434
Industrial/machinery,2001,1.466
Industrial/machinery,2002,1.557
Industrial/machinery,2003,1.618
Industrial/machinery,2004,1.717
Industrial/machinery,2005,1.762
Industrial/machinery,2006,1.869
Industrial/machinery,2007,1.969
Industrial/machinery,2008,1.872
Industrial/machinery,2009,1.915
Industrial/machinery,2010,2.067
Industrial/machinery,2011,2.139
Industrial/machinery,2012,2.207
Industrial/machinery,2013,2.288
Industrial/machinery,2014,2.315
Industrial/machinery,2015,2.427
Industrial/machinery,2016,2.419
Industrial/machinery,2017,2.495
Industrial/machinery,2018,2.599
Industrial/machinery,2019,2.683
Personal care products,1990,0.007
Personal care products,1991,0.007
Personal care products,1992,0.008
Personal care products,1993,0.008
Personal care products,1994,0.009
Personal care products,1995,0.009
Personal care products,1996,0.01
Personal care products,1997,0.011
Personal care products,1998,0.011
Personal care products,1999,0.012
Personal care products,2000,0.013
Personal care products,2001,0.013
Personal care products,2002,0.014
Personal care products,2003,0.015
Personal care products,2004,0.016
Personal care products,2005,0.017
Personal care products,2006,0.018
Personal care products,2007,0.019
Personal care products,2008,0.018
Personal care products,2009,0.019
Personal care products,2010,0.021
Personal care products,2011,0.022
Personal care products,2012,0.023
Personal care products,2013,0.024
Personal care products,2014,0.024
Personal care products,2015,0.025
Personal care products,2016,0.026
Personal care products,2017,0.026
Personal care products,2018,0.027
Personal care products,2019,0.027
Textile sector - clothing,1990,7.199
Textile sector - clothing,1991,7.519
Textile sector - clothing,1992,8.05
Textile sector - clothing,1993,8.441
Textile sector - clothing,1994,9.325
Textile sector - clothing,1995,9.747
Textile sector - clothing,1996,10.519
Textile sector - clothing,1997,11.371
Textile sector - clothing,1998,11.964
Textile sector - clothing,1999,12.946
Textile sector - clothing,2000,13.71
Textile sector - clothing,2001,14.129
Textile sector - clothing,2002,15.125
Textile sector - clothing,2003,15.848
Textile sector - clothing,2004,16.956
Textile sector - clothing,2005,17.539
Textile sector - clothing,2006,18.755
Textile sector - clothing,2007,19.919
Textile sector - clothing,2008,19.089
Textile sector - clothing,2009,19.688
Textile sector - clothing,2010,21.582
Textile sector - clothing,2011,22.674
Textile sector - clothing,2012,23.758
Textile sector - clothing,2013,25.009
Textile sector - clothing,2014,25.691
Textile sector - clothing,2015,26.332
Textile sector - clothing,2016,26.903
Textile sector - clothing,2017,27.482
Textile sector - clothing,2018,28.057
Textile sector - clothing,2019,28.759
Textile sector - others,1990,4.438
Textile sector - others,1991,4.61
Textile sector - others,1992,4.909
Textile sector - others,1993,5.119
Textile sector - others,1994,5.626
Textile sector - others,1995,5.849
Textile sector - others,1996,6.28
Textile sector - others,1997,6.754
Textile sector - others,1998,7.07
Textile sector - others,1999,7.612
Textile sector - others,2000,8.021
Textile sector - others,2001,8.226
Textile sector - others,2002,8.762
Textile sector - others,2003,9.137
Textile sector - others,2004,9.73
Textile sector - others,2005,10.017
Textile sector - others,2006,10.662
Textile sector - others,2007,11.272
Textile sector - others,2008,10.753
Textile sector - others,2009,11.041
Textile sector - others,2010,11.998
Textile sector - others,2011,12.497
Textile sector - others,2012,12.985
Textile sector - others,2013,13.555
Textile sector - others,2014,13.812
Textile sector - others,2015,14.186
Textile sector - others,2016,14.348
Textile sector - others,2017,14.554
Textile sector - others,2018,14.812
Textile sector - others,2019,15.116
Road marking,1990,0.195
Road marking,1991,0.203
Road marking,1992,0.215
Road marking,1993,0.224
Road marking,1994,0.246
Road marking,1995,0.256
Road marking,1996,0.274
Road marking,1997,0.295
Road marking,1998,0.308
Road marking,1999,0.331
Road marking,2000,0.349
Road marking,2001,0.357
Road marking,2002,0.38
Road marking,2003,0.396
Road marking,2004,0.421
Road marking,2005,0.433
Road marking,2006,0.46
Road marking,2007,0.486
Road marking,2008,0.463
Road marking,2009,0.475
Road marking,2010,0.515
Road marking,2011,0.536
Road marking,2012,0.556
Road marking,2013,0.579
Road marking,2014,0.589
Road marking,2015,0.6
Road marking,2016,0.607
Road marking,2017,0.63
Road marking,2018,0.657
Road marking,2019,0.682
Transportation - tyres,1990,2.172
Transportation - tyres,1991,2.259
Transportation - tyres,1992,2.408
Transportation - tyres,1993,2.515
Transportation - tyres,1994,2.767
Transportation - tyres,1995,2.88
Transportation - tyres,1996,3.096
Transportation - tyres,1997,3.333
Transportation - tyres,1998,3.493
Transportation - tyres,1999,3.765
Transportation - tyres,2000,3.972
Transportation - tyres,2001,4.078
Transportation - tyres,2002,4.349
Transportation - tyres,2003,4.54
Transportation - tyres,2004,4.839
Transportation - tyres,2005,4.987
Transportation - tyres,2006,5.314
Transportation - tyres,2007,5.623
Transportation - tyres,2008,5.37
Transportation - tyres,2009,5.519
Transportation - tyres,2010,6.01
Transportation - tyres,2011,6.274
Transportation - tyres,2012,6.532
Transportation - tyres,2013,6.833
Transportation - tyres,2014,6.977
Transportation - tyres,2015,7.1
Transportation - tyres,2016,7.164
Transportation - tyres,2017,7.3
Transportation - tyres,2018,7.522
Transportation - tyres,2019,7.734
Total,1990,129.887
Total,1991,134.87
Total,1992,143.569
Total,1993,149.685
Total,1994,164.447
Total,1995,170.917
Total,1996,183.44
Total,1997,197.228
Total,1998,206.397
Total,1999,222.145
Total,2000,234.008
Total,2001,239.907
Total,2002,255.48
Total,2003,266.323
Total,2004,283.508
Total,2005,291.788
Total,2006,310.465
Total,2007,328.116
Total,2008,312.909
Total,2009,321.169
Total,2010,348.88
Total,2011,363.27
Total,2012,377.301
Total,2013,393.737
Total,2014,401.032
Total,2015,412.751
Total,2016,419.97
Total,2017,432.184
Total,2018,446.2
Total,2019,459.746
